"","SD_mort","La_r","gen_r","M_repo","M_suv","gini_r","species_match","PCA_met_type"
"1",0.619324664464407,-0.505171856771477,-1.08640275536289,1.70187596485932,-0.395376720826314,0.261024466706815,"Cyprinus_carpio","ecto"
"2",1.06923367936613,0.292309127812778,-0.788775347055488,2.65638596788542,-0.783587649153202,0.392109303990439,"Esox_lucius","ecto"
"3",1.2425012398728,0.488085566156303,-0.127872719691817,1.67964794076702,-0.00172447828252814,-0.0142268995285737,"Maccullochella_peelii","ecto"
"4",0.254702577860629,-0.262881339446547,-1.1208032776715,1.52960916739326,-0.57510890977851,0.553877041712979,"Macquaria_ambigua","ecto"
"5",-1.15321606520642,0.106179533931733,-1.47091306032188,1.47359070044239,-1.70963978644933,1.80854261946028,"Oncorhynchus_tshawytscha","ecto"
"6",-1.40314915571159,0.106179533931729,-1.46117953209393,1.65917739951341,-1.67518634230354,1.80854261946028,"Oncorhynchus_tshawytscha","ecto"
"7",-1.15321199927596,-0.314690399105398,-1.45510845471448,1.60161621879009,-1.29787740325402,1.62386888163756,"Oncorhynchus_tshawytscha","ecto"
"8",-1.38677087825044,-0.314690399105398,-1.53166434504293,1.53736867141102,-1.38333310265971,1.2832473827781,"Oncorhynchus_tshawytscha","ecto"
"9",-0.615410624073133,0.49939359453154,-0.978596632455856,1.60161516846611,-1.59911511332944,0.461451119029382,"Salvelinus_confluentus","ecto"
"10",-0.615158899577445,-0.859130624245273,-1.36724706564427,1.64554131034333,-1.79455839236132,-2.75192443587451,"Salvelinus_confluentus","ecto"
"11",1.58729235762685,0.547577883883569,0.845133797601841,-0.514316307670065,1.06329403314023,0.205007304669505,"Anarhynchus_frontalis","endo"
"12",-1.04379650620886,-1.5799599830854,-1.16253306165497,-2.56653484173824,-1.19906534203776,1.05585064877639,"Anas_fulvigula","endo"
"13",-1.10888153517912,-1.58663135036691,-1.46576095969707,-0.140348034986053,-0.944018071171168,0.941751960389715,"Anas_platyrhynchos","endo"
"14",-1.22853515824646,-1.58663135036691,-1.47238538361606,0.142897956795158,-0.768964265099399,0.944617216386775,"Anas_platyrhynchos","endo"
"15",-0.939991432652821,0.582120145107959,-0.0928286637929625,0.0708187267419026,0.543252615378048,0.985358355859766,"Coragyps_atratus","endo"
"16",-0.717445076964073,1.23417412206299,0.368243544290115,-0.127041312813811,0.511346396896882,1.02143675325026,"Coragyps_atratus","endo"
"17",-0.603220727462125,0.195644475913614,-1.19493537331748,0.822953547164671,-0.440899372313728,0.398449393393374,"Hirundo_rustica","endo"
"18",-0.874185136437598,-0.938289252636987,-0.778406883552445,0.668774173803712,-0.739729592461474,0.865078709446215,"Jynx_torquilla","endo"
"19",-1.24860741151836,0.461656842845195,-0.182521817487975,-0.998661774527124,-0.0513303176291765,0.95671512181864,"Pernis_apivorus","endo"
"20",-1.24860741151836,0.461656842845195,-0.316321170375426,-0.55673867710709,-0.0513303176291765,0.95671512181864,"Pernis_apivorus","endo"
"21",0.697720700722107,0.291987820261765,-0.365508142443311,0.439584498719717,0.0207575366220634,0.711693646180632,"Phalacrocorax_auritus","endo"
"22",0.851678444241194,0.291987820261761,-0.355643334472409,0.812073251355177,-0.0885902465415124,0.485927373610688,"Phalacrocorax_auritus","endo"
"23",0.25823784312985,-0.0737083035474138,-0.542446721511333,0.517455470529188,-0.051971999060419,0.805668256894131,"Picoides_borealis","endo"
"24",0.0121079025894315,-0.0737083035474138,-0.669043239356198,0.401507671788865,-0.290582093116668,0.809336250599589,"Picoides_borealis","endo"
"25",-0.895639059476933,1.45377128795067,0.882759449032713,-1.39832537183362,0.25013073947424,0.840509614027264,"Thalassarche_melanophris","endo"
"26",-0.877794073565439,-0.622895868090454,-1.95622143389874,1.88647439353684,-1.21982246495643,0.634083417710315,"Tympanuchus_cupido","endo"
"27",-0.582826078307151,-0.675525281418462,-0.762066302960888,0.120278892834763,-0.666616855300263,0.593910340063049,"Vermivora_chrysoptera","endo"
"28",-0.463238215738393,-0.675525281418462,-0.709671014291088,0.133060169388847,-0.600919699368664,0.555736583659886,"Vermivora_chrysoptera","endo"
"29",0.363017882443715,0.5321927986105,-0.144000928904306,1.29784044711131,-0.674207275340616,-1.64865031883397,"Haliotis_rufescens","ecto"
"30",1.41963372112574,-1.09273531887535,-1.15904575956667,1.49008698528682,0.290573286608357,0.899926967101028,"Alces_alces","endo"
"31",0.319539237053206,-0.930625981007181,-0.98721604629893,0.758455147451263,-0.709464212345371,1.55274813603062,"Arctocephalus_australis","endo"
"32",-1.18678407809061,-0.7879493065233,-0.180625893002651,-0.958779061294285,0.4298274166212,1.11511999537789,"Hippocamelus_bisulcus","endo"
"33",-1.92885943730501,-0.7879493065233,-0.889471989774385,-0.981136674862136,-0.590082515668545,1.21655357344553,"Hippocamelus_bisulcus","endo"
"34",-1.92885943730501,-0.7879493065233,-1.24471890067649,-0.0261262273358336,-0.590082515668545,1.21655357344553,"Hippocamelus_bisulcus","endo"
"35",-0.332035760393501,-0.975546087149956,-1.33470043889737,0.601934037332833,-0.895916135925409,0.684897716703517,"Lontra_canadensis","endo"
"36",-1.10597040474931,-0.919769869268082,-1.6172081129085,0.396651010846199,-1.10720693336261,0.438099641667488,"Marmota_flaviventris","endo"
"37",-0.664144970278496,-0.919769869268082,-1.51620316391512,1.0393840801902,-1.18131294759556,-0.845505874747343,"Marmota_flaviventris","endo"
"38",-0.40350148005318,-0.919769869268082,-1.58015344908333,1.16756298713314,-1.52237190166395,-0.55408455806758,"Marmota_flaviventris","endo"
